iter	Passed	Remaining
0	43	43318
1	57	28873
2	71	23656
3	81	20378
4	94	18778
5	107	17837
6	120	17055
7	130	16212
8	145	15981
9	159	15775
10	174	15698
11	190	15679
12	208	15858
13	226	15936
14	239	15734
15	254	15653
16	272	15772
17	287	15707
18	301	15575
19	319	15676
20	337	15718
21	352	15679
22	369	15700
23	386	15734
24	399	15584
25	410	15363
26	423	15261
27	439	15242
28	455	15239
29	470	15203
30	487	15243
31	503	15224
32	523	15339
33	540	15362
34	554	15293
35	569	15250
36	584	15203
37	598	15148
38	611	15073
39	626	15029
40	643	15040
41	659	15042
42	676	15049
43	691	15017
44	706	15003
45	720	14946
46	734	14890
47	746	14804
48	758	14719
49	771	14665
50	784	14588
51	796	14522
52	806	14417
53	818	14339
54	831	14283
55	843	14225
56	858	14198
57	869	14122
58	881	14064
59	895	14024
60	908	13983
61	918	13896
62	930	13838
63	942	13781
64	953	13718
65	969	13717
66	981	13661
67	993	13616
68	1003	13542
69	1015	13488
70	1028	13461
71	1041	13429
72	1052	13365
73	1066	13341
74	1079	13311
75	1090	13263
76	1102	13212
77	1113	13161
78	1125	13120
79	1136	13064
80	1149	13038
81	1162	13015
82	1175	12986
83	1186	12942
84	1197	12888
85	1210	12864
86	1224	12845
87	1236	12816
88	1247	12764
89	1260	12742
90	1273	12718
91	1283	12664
92	1296	12646
93	1310	12634
94	1323	12603
95	1334	12564
96	1344	12517
97	1357	12494
98	1368	12452
99	1378	12404
100	1389	12368
101	1400	12333
102	1411	12296
103	1427	12297
104	1439	12265
105	1451	12239
106	1461	12200
107	1473	12165
108	1484	12133
109	1494	12090
110	1506	12066
111	1518	12036
112	1528	11995
113	1539	11963
114	1551	11938
115	1561	11900
116	1572	11871
117	1584	11846
118	1594	11806
119	1605	11771
120	1616	11746
121	1627	11715
122	1639	11691
123	1651	11669
124	1661	11632
125	1673	11606
126	1685	11589
127	1697	11562
128	1707	11526
129	1718	11501
130	1729	11474
131	1742	11459
132	1754	11437
133	1766	11418
134	1776	11384
135	1787	11356
136	1799	11337
137	1809	11302
138	1821	11282
139	1834	11268
140	1847	11255
141	1859	11235
142	1869	11206
143	1881	11186
144	1893	11166
145	1904	11138
146	1914	11111
147	1926	11092
148	1937	11066
149	1948	11044
150	1961	11027
151	1971	10996
152	1983	10979
153	1994	10956
154	2005	10931
155	2016	10908
156	2029	10895
157	2039	10869
158	2050	10844
159	2061	10824
160	2074	10808
161	2085	10787
162	2097	10771
163	2109	10755
164	2122	10742
165	2133	10720
166	2147	10711
167	2160	10697
168	2172	10684
169	2184	10663
170	2197	10653
171	2210	10643
172	2226	10644
173	2242	10646
174	2256	10639
175	2267	10618
176	2282	10613
177	2299	10617
178	2313	10612
179	2327	10604
180	2341	10592
181	2353	10579
182	2365	10559
183	2378	10548
184	2391	10535
185	2402	10514
186	2416	10504
187	2432	10505
188	2446	10498
189	2463	10503
190	2479	10503
191	2494	10496
192	2508	10488
193	2522	10479
194	2532	10454
195	2544	10438
196	2557	10425
197	2568	10405
198	2579	10382
199	2591	10366
200	2602	10346
201	2612	10319
202	2625	10306
203	2637	10290
204	2647	10268
205	2658	10246
206	2670	10230
207	2681	10208
208	2691	10188
209	2703	10169
210	2715	10153
211	2726	10133
212	2737	10112
213	2750	10103
214	2763	10090
215	2775	10072
216	2787	10057
217	2799	10043
218	2810	10021
219	2822	10005
220	2833	9987
221	2843	9964
222	2856	9951
223	2869	9939
224	2881	9926
225	2892	9905
226	2903	9885
227	2915	9870
228	2925	9850
229	2937	9834
230	2949	9819
231	2959	9796
232	2971	9781
233	2982	9764
234	2992	9742
235	3004	9726
236	3016	9710
237	3028	9697
238	3039	9676
239	3051	9662
240	3063	9649
241	3074	9630
242	3085	9611
243	3097	9595
244	3107	9576
245	3120	9563
246	3132	9549
247	3143	9531
248	3153	9511
249	3164	9494
250	3177	9480
251	3188	9464
252	3198	9443
253	3209	9426
254	3220	9409
255	3230	9389
256	3242	9374
257	3254	9358
258	3265	9342
259	3278	9329
260	3290	9317
261	3303	9305
262	3314	9287
263	3326	9275
264	3338	9258
265	3348	9239
266	3359	9223
267	3372	9211
268	3383	9194
269	3393	9174
270	3405	9160
271	3419	9151
272	3430	9135
273	3442	9120
274	3454	9106
275	3466	9093
276	3482	9089
277	3502	9095
278	3538	9144
279	3560	9155
280	3578	9157
281	3594	9152
282	3611	9149
283	3627	9145
284	3644	9143
285	3664	9147
286	3682	9147
287	3700	9147
288	3718	9149
289	3741	9159
290	3757	9154
291	3782	9170
292	3803	9177
293	3823	9181
294	3849	9198
295	3866	9195
296	3881	9188
297	3897	9182
298	3917	9184
299	3936	9185
300	3952	9179
301	3981	9202
302	3997	9196
303	4015	9193
304	4033	9190
305	4054	9196
306	4069	9185
307	4084	9176
308	4105	9180
309	4121	9174
310	4146	9185
311	4170	9197
312	4197	9212
313	4215	9209
314	4236	9213
315	4254	9208
316	4273	9206
317	4300	9222
318	4318	9218
319	4336	9215
320	4358	9218
321	4375	9213
322	4398	9218
323	4415	9213
324	4430	9202
325	4446	9192
326	4464	9188
327	4480	9179
328	4495	9168
329	4510	9157
330	4526	9148
331	4540	9135
332	4556	9127
333	4575	9122
334	4589	9111
335	4605	9101
336	4618	9086
337	4633	9076
338	4645	9058
339	4660	9047
340	4674	9033
341	4688	9020
342	4703	9008
343	4716	8994
344	4728	8977
345	4740	8960
346	4753	8944
347	4766	8930
348	4779	8915
349	4791	8898
350	4804	8882
351	4817	8868
352	4830	8853
353	4843	8838
354	4857	8825
355	4870	8810
356	4883	8795
357	4897	8782
358	4909	8766
359	4922	8750
360	4935	8735
361	4947	8720
362	4959	8703
363	4973	8689
364	4986	8675
365	4999	8660
366	5013	8647
367	5027	8633
368	5038	8616
369	5051	8601
370	5064	8586
371	5078	8573
372	5092	8559
373	5104	8544
374	5118	8531
375	5132	8518
376	5145	8502
377	5156	8484
378	5168	8468
379	5181	8453
380	5193	8437
381	5203	8418
382	5216	8403
383	5228	8387
384	5240	8371
385	5252	8355
386	5266	8341
387	5279	8327
388	5292	8312
389	5303	8295
390	5316	8281
391	5329	8266
392	5342	8252
393	5353	8234
394	5365	8217
395	5379	8204
396	5391	8188
397	5403	8172
398	5416	8157
399	5429	8144
400	5441	8127
401	5452	8110
